CIRCLE,DISTRICT,ZONE_ID,GRID_NAME,FEEDER_NAME,SUBSTATION_NAME,OPEN_DATE,CLOSE_DATE,FAULT_TYPE,FAULT_REASON,ZSO_NAME,LAST_PROTECTION_VISITOR_NAME,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,"NIA PH-1, MARUTI O/D S/S","1302_NIA PH-1, MARUTI O/D S/S_19464916",4/18/2020 0:52,4/18/2020 3:25,HT ABC Fault,Sparking/Fire in ABC,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,"NIA PH-1, MARUTI O/D S/S",NA,4/18/2020 2:55,4/18/2020 3:47,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,PAYAL GRID,"NIA PH-1, MARUTI O/D S/S",NA,4/18/2020 2:47,4/18/2020 4:05,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,INDERPURI GRID,MEHTA S/S NIA PH-2 FDR-1,"1302_HT1302-17/8/1/1, A-1/B NIA_84965382",4/18/2020 10:17,4/18/2020 10:37,HT ABC Fault,Sparking/Fire in ABC,,,,
CITY CIRCLE,MOTI NAGAR,1302,INDERPURI GRID,MEHTA S/S NIA PH-2 FDR-1,NA,4/18/2020 10:40,4/18/2020 13:17,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,KIRBI PLACE FDR NO-1,"1302_G.O, HT1302-34/11_138726301",4/18/2020 12:34,4/18/2020 13:23,Other,For Opening/Connecting Jumper,,,,
CITY CIRCLE,MOTI NAGAR,1302,220KV NARAINA GRID,KIRBI PLACE FDR NO-1,NA,4/18/2020 13:22,4/18/2020 15:07,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1303,SUDARSHAN PARK GRID,F BLK BALI NAGAR,SUDARSHAN PARK GRID_19413112,4/18/2020 13:55,4/18/2020 14:25,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1304,INDERPURI GRID,DPCC PUSA S/S,1304_KRISHI KUNJ NO.-3_19464826,4/18/2020 18:02,4/18/2020 20:10,O/H Fault,Animal electrocuted,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,WHS 1,NA,4/19/2020 13:44,4/19/2020 14:20,O/H Fault,HT Jumper burnt,,,,
CITY CIRCLE,MOTI NAGAR,1303,REWARI LINE GRID,WHS 1,NA,4/19/2020 14:11,4/19/2020 14:48,NA,NA,,,,
CITY CIRCLE,MOTI NAGAR,1301,SUDARSHAN PARK GRID,PUMPING STATION MOTI NAGAR,1301_PUMPING STATION MOTI NAGAR_19464941,4/22/2020 10:19,4/22/2020 10:55,Cable Fault,Cable damaged,,,,
